name,region,gl_type,region_type,area,volume,lat,lon
IC_1567, CE, LT, ice_cap, 0.02,      0, 68.35107, -31.94700 
IC_1569, CE, LT, ice_cap, 0.02,      0, 68.34960, -31.94049 
IC_1570, CE, LT, ice_cap, 0.01,      0, 68.34797, -31.97498 
IC_1562, CE, LT, ice_cap, 5.65,      0, 68.18407, -30.13720 
IC_1565, CE, LT, ice_cap, 6.40,      0, 68.17221, -30.19681 
IC_1568, CE, LT, ice_cap, 12.07,      0, 68.16833, -30.27669 
IC_1571, CE, LT, ice_cap, 0.01,      0, 68.31608, -32.08400 
IC_1575, CE, LT, ice_cap, 5.41,      0, 68.22070, -31.66017 
IC_1573, CE, LT, ice_cap, 14.26,      0, 68.22248, -31.52392 
IC_1574, CE, LT, ice_cap, 10.20,      0, 68.16565, -31.15493 
IC_1577, CE, LT, ice_cap, 0.02,      0, 68.14320, -31.09891 
IC_1579, CE, LT, ice_cap, 13.39,      0, 68.11826, -31.16942 
IC_1580, CE, LT, ice_cap, 0.01,      0, 68.13629, -31.34966 
IC_1578, CE, LT, ice_cap, 6.28,      0, 68.14419, -31.29782 
IC_1576, CE, LT, ice_cap, 9.27,      0, 68.17173, -31.61996 
IC_1582, CE, LT, ice_cap, 0.01,      0, 68.22371, -32.53225 
IC_1583, CE, LT, ice_cap, 0.01,      0, 68.08440, -31.11329 
IC_1581, CE, LT, ice_cap, 5.57,      0, 68.09375, -31.09621 
IC_1584, CE, LT, ice_cap, 5.16,      0, 67.80321, -32.55303 
IC_1586, CE, LT, ice_cap, 25.68,      0, 67.47285, -33.39804 
IC_1587, CE, LT, ice_cap, 15.68,      0, 67.38688, -33.41488 
IC_1589, CE, LT, ice_cap, 0.01,      0, 67.36299, -33.74346 
IC_1590, CE, LT, ice_cap, 0.01,      0, 67.34343, -33.57253 
IC_1592, CE, LT, ice_cap, 0.01,      0, 67.12217, -33.64083 
IC_1593, CE, LT, ice_cap, 0.01,      0, 67.09883, -33.67844 
IC_1594, SW, LT, ice_cap, 11.28,      0, 67.20719, -53.13018 
IC_1595, SW, LT, ice_cap, 7.16,      0, 67.17856, -52.72616 
IC_1596, SW, LT, ice_cap, 7.22,      0, 67.16808, -52.58331 
IC_1597, SW, LT, ice_cap, 13.73,      0, 67.10113, -53.13820 
IC_1600, NO, LT, ice_cap, 0.01,      0, 66.44177, -34.75250 
IC_1602, NO, LT, ice_cap, 0.06,      0, 66.45361, -35.55116 
IC_1603, NO, LT, ice_cap, 0.01,      0, 66.45223, -35.53713 
IC_1601, NO, LT, ice_cap, 5.28,      0, 66.41768, -35.05126 
IC_1605, NO, LT, ice_cap, 0.03,      0, 66.38341, -34.81696 
IC_1604, NO, LT, ice_cap, 0.12,      0, 66.43621, -35.58888 
IC_1606, NO, LT, ice_cap, 0.01,      0, 66.43445, -35.59391 
IC_1608, SW, LT, ice_cap, 0.01,      0, 66.51306, -52.74460 
IC_1610, NO, LT, ice_cap, 0.01,      0, 66.40011, -35.87912 
IC_1614, NO, LT, ice_cap, 0.01,      0, 66.38276, -35.81894 
IC_1607, SW, LT, ice_cap, 16.44,      0, 66.48846, -52.74493 
IC_1609, SW, LT, ice_cap, 9.82,      0, 66.45699, -52.88953 
IC_1613, SW, LT, ice_cap, 3.00,      0, 66.43175, -53.14360 
IC_1617, NO, LT, ice_cap, 0.01,      0, 66.35008, -35.77176 
IC_1618, NO, LT, ice_cap, 0.01,      0, 66.34729, -35.78406 
IC_1619, NO, LT, ice_cap, 0.01,      0, 66.34656, -35.78659 
IC_1620, NO, LT, ice_cap, 0.01,      0, 66.34583, -35.78912 
IC_1622, NO, LT, ice_cap, 0.01,      0, 66.34509, -35.79165 
IC_1623, NO, LT, ice_cap, 0.01,      0, 66.34436, -35.79418 
IC_1624, NO, LT, ice_cap, 0.02,      0, 66.34370, -35.79780 
IC_1625, NO, LT, ice_cap, 0.01,      0, 66.34304, -35.80142 
IC_1626, NO, LT, ice_cap, 0.01,      0, 66.34230, -35.80395 
IC_1627, NO, LT, ice_cap, 0.01,      0, 66.34157, -35.80647 
IC_1628, NO, LT, ice_cap, 0.01,      0, 66.33706, -35.80606 
IC_1612, SW, LT, ice_cap, 10.00,      0, 66.41753, -53.15256 
IC_1629, NO, LT, ice_cap, 0.01,      0, 66.32987, -35.75090 
IC_1615, SW, LT, ice_cap, 15.15,      0, 66.42902, -52.86267 
IC_1633, NO, LT, ice_cap, 0.01,      0, 66.37973, -36.83897 
IC_1616, SW, LT, ice_cap, 12.87,      0, 66.42940, -52.58237 
IC_1635, SW, LT, ice_cap, 0.01,      0, 66.39719, -52.81907 
IC_1638, NO, LT, ice_cap, 0.08,      0, 66.31131, -35.85685 
IC_1639, NO, LT, ice_cap, 0.03,      0, 66.31057, -35.86802 
IC_1621, NO, LT, ice_cap, 5.70,      0, 66.41115, -37.26071 
IC_1636, NO, LT, ice_cap, 8.15,      0, 66.38183, -37.38109 
IC_1630, NO, LT, ice_cap, 5.85,      0, 66.39032, -37.11328 
IC_1641, NO, LT, ice_cap, 0.58,      0, 66.38066, -37.34662 
IC_1642, NO, LT, ice_cap, 0.03,      0, 66.37571, -37.33908 
IC_1632, SW, LT, ice_cap, 10.64,      0, 66.39417, -52.66660 
IC_1643, NO, LT, ice_cap, 0.01,      0, 66.32505, -36.72936 
IC_1640, SW, LT, ice_cap, 10.25,      0, 66.35309, -52.92829 
IC_1631, SW, LT, ice_cap, 26.12,      0, 66.37222, -52.76765 
IC_1645, SW, LT, ice_cap, 0.01,      0, 66.33538, -52.47323 
IC_1644, NO, LT, ice_cap, 18.36,      0, 66.23399, -35.89448 
IC_1647, NO, LT, ice_cap, 0.01,      0, 66.22187, -35.93888 
